id,plot,NDVI_d28,SAVI_d28,GNDVI_d28,MCARI1_d28,SR_d28,NDVI_d01,SAVI_d01,GNDVI_d01,MCARI1_d01,SR_d01,NDVI_d04,SAVI_d04,GNDVI_d04,MCARI1_d04,SR_d04,NDVI_d08,SAVI_d08,GNDVI_d08,MCARI1_d08,SR_d08,Class
1,102,0.798284346,1.197380165,0.692651956,16710.29721,9.72814153,0.729766918,1.094619847,0.698726413,21499.94698,6.907141814,0.713178955,1.069718399,0.662424602,13090.11459,6.2169677,0.684125239,1.026146315,0.636864799,13352.81776,5.421332921,1
2,11,0.806954675,1.210392005,0.705323218,19513.8563,10.55741076,0.774359038,1.161513501,0.717366713,30041.91766,8.531835018,0.777758122,1.166604163,0.680268759,22731.09954,8.38045283,0.725520578,1.0882398,0.669112589,16190.82038,6.491860114,0
3,103,0.825103716,1.237610132,0.708468134,18074.06986,11.14140802,0.786940831,1.180384643,0.730470702,29312.17626,8.982520596,0.730707638,1.096007869,0.680237617,12330.21702,6.670914716,0.728170925,1.092214401,0.655206208,15313.16198,6.55126821,1
4,112,0.788884018,1.183279017,0.664787176,16226.23017,8.990752368,0.743874097,1.115781864,0.690141471,22610.47885,7.109600014,0.707999325,1.061948287,0.64478555,12085.07787,6.017713865,0.72816058,1.092200955,0.640739202,16562.17418,6.608121222,1
5,114,0.764985935,1.147431616,0.673489714,14920.80711,8.269806173,0.715948151,1.07389405,0.69561909,22002.08151,6.447620542,0.68815475,1.032175959,0.660206404,10053.17885,5.571702366,0.694319683,1.04143675,0.642372545,13760.95583,5.665566998,1
6,104,0.806203716,1.209259407,0.706954192,17028.95267,10.11130809,0.762455248,1.143656067,0.728572108,26924.5034,8.062839254,0.719175826,1.078709963,0.676753818,11916.93652,6.373154179,0.690513556,1.035727095,0.646186268,13193.66098,5.569106658,1
7,113,0.795357749,1.192987854,0.687262504,16034.5755,9.714422749,0.735629884,1.103415746,0.702572233,22870.58823,7.131970381,0.693615112,1.040365748,0.660225514,10244.4141,5.736576886,0.702830866,1.054200003,0.64652675,13187.20646,5.878810035,1
8,101,0.807646512,1.211424161,0.713000842,17387.49079,10.64321113,0.774361301,1.161512395,0.738357136,25357.88958,8.749415394,0.748414355,1.12257346,0.694469572,14891.14774,7.39440415,0.705636992,1.058409694,0.662053942,13483.8996,5.947826653,1
9,111,0.790080408,1.185074131,0.683248583,16212.71937,9.193787976,0.74113962,1.111678513,0.703304087,21842.74825,7.143895534,0.710366631,1.065501455,0.653621958,13079.29736,6.154163931,0.711068345,1.066558897,0.64936163,14597.79894,6.153231062,1
10,12,0.789402906,1.184062241,0.688352541,17859.92417,9.527958269,0.757559298,1.136311557,0.706715961,26529.38283,7.888507761,0.737633698,1.106409159,0.65347496,17483.16681,7.039555312,0.701538166,1.052261738,0.65104774,13607.31327,5.889840195,1
11,122,0.787845796,1.181722482,0.673787138,16349.84435,9.121528311,0.748273904,1.122382137,0.702856343,23283.21436,7.44573408,0.712608268,1.06886431,0.643761968,12910.09312,6.146566315,0.71827172,1.07736418,0.641293974,14630.45708,6.313308121,1
12,13,0.806006126,1.208966061,0.698521522,18325.86796,10.45062071,0.776762107,1.165121191,0.712256086,35348.89095,8.872072447,0.757990792,1.136946885,0.663469302,18970.25945,7.691800785,0.721818861,1.082688193,0.654506147,16312.51025,6.385157853,0
13,132,0.80208221,1.203077356,0.680917069,17169.04634,10.05881252,0.77534429,1.162990055,0.709705583,27757.52368,8.621917015,0.736382525,1.104527847,0.66432032,14681.21027,6.937700581,0.722001679,1.082958672,0.653284551,14758.07159,6.4360791,1
14,134,0.813372566,1.220014347,0.709147933,18003.44931,10.79602404,0.762583407,1.143847923,0.726100412,27339.40817,8.147889773,0.695130864,1.0426393,0.668245223,10358.64327,5.802838569,0.706549433,1.059781289,0.658175857,14405.32997,5.988306244,1
15,121,0.793088413,1.189587832,0.678663388,17110.87043,9.385904783,0.753832156,1.130719158,0.705600592,23670.23288,7.587275893,0.711203293,1.066755362,0.6567278,12728.28121,6.149678732,0.700708241,1.051020921,0.65158841,14118.31678,5.789025992,1
16,123,0.799930795,1.199850894,0.697854461,16973.98828,10.07589383,0.773743923,1.160590859,0.720498902,29446.17681,8.502046479,0.736301054,1.10440476,0.670650219,14162.00058,6.849823484,0.715584629,1.073337857,0.647433399,15628.9732,6.192233279,1
17,133,0.805879885,1.208772937,0.70664467,16879.74656,10.43939698,0.763583253,1.145346897,0.723132884,25901.72026,8.164294452,0.702196191,1.053239432,0.662807576,10913.54436,5.934496046,0.699743602,1.049570407,0.648298527,13302.45597,5.854394326,1
18,131,0.781234246,1.171805392,0.675058982,16065.92042,8.896474579,0.768149446,1.152197867,0.705692256,27451.80286,8.206078184,0.745733929,1.118557763,0.664432135,16204.73886,7.231634699,0.728244129,1.092324943,0.655569216,15647.22917,6.582493175,1
19,124,0.814805573,1.22216416,0.699812392,17937.77408,10.6202571,0.783842593,1.175741018,0.71522492,33271.2208,8.760187767,0.731444101,1.09712,0.660362734,14471.14853,6.685011399,0.700603594,1.050865225,0.637495219,14594.45893,5.875212757,1
